datetime,ts_code,last_zg,notify,down_notify,up_notify
2021-03-09,SH603658,107.0,True,True,True
2021-03-09,SH603366,4.36,True,True,True
2021-03-09,SH603566,20.25,True,True,True
2021-03-09,SH603637,7.23,True,True,True
2021-03-09,SH603669,7.35,True,True,True
2021-03-09,SH603686,17.08,True,True,True
2021-03-09,SH603789,12.99,True,True,True
2021-03-09,SH603855,18.5,True,True,True
2021-03-09,SH603677,11.14,True,True,True
2021-03-09,SH603662,25.44,True,True,True
2021-03-09,SH603790,10.24,True,True,True
2021-03-09,SH603733,23.4,True,True,True
2021-03-09,SH603825,14.7,True,True,True
2021-03-09,SH603811,20.73,True,True,True
2021-03-09,SH603666,79.0,True,True,True
2021-03-09,SH603725,8.3,True,True,True
2021-03-09,SH603778,3.83,True,True,True
2021-03-09,SH603711,19.5,True,True,True
2021-03-09,SH603885,12.94,True,True,True
2021-03-09,SH603898,16.56,True,True,True
2021-03-09,SH603843,3.78,True,True,True
2021-03-09,SH603868,43.51,True,True,True
2021-03-09,SH605066,11.88,True,True,True
2021-03-09,SH603848,13.34,True,True,True
2021-03-09,SH605088,16.05,True,True,True
2021-03-09,SH605116,13.18,True,True,True
2021-03-09,SH603900,6.12,True,True,True
2021-03-09,SH605166,9.07,True,True,True
2021-03-09,SH605118,13.51,True,True,True
2021-03-09,SH603959,10.1,True,True,True
2021-03-09,SH605188,8.65,True,True,True
2021-03-09,SH605005,12.91,True,True,True
2021-03-09,SH605198,20.31,True,True,True
2021-03-09,SH603878,7.42,True,True,True
2021-03-09,SH605199,18.11,True,True,True
2021-03-09,SH605277,20.15,True,True,True
2021-03-09,SH605179,16.16,True,True,True
2021-03-09,SH605218,13.14,True,True,True
2021-03-09,SH605183,15.15,True,True,True
2021-03-09,SH603901,9.8,True,True,True
2021-03-09,SH605288,106.7,True,True,True
2021-03-09,SH605222,18.61,True,True,True
2021-03-09,SH605299,10.5,True,True,True
2021-03-09,SH605255,14.88,True,True,True
2021-03-09,SH605500,17.37,True,True,True
2021-03-09,SH603990,27.0,True,True,True
2021-03-09,SH605336,25.18,True,True,True
2021-03-09,SH605377,18.92,True,True,True
2021-03-09,SH688001,33.49,True,True,True
2021-03-09,SH603880,9.88,True,True,True
2021-03-09,SH688036,166.21,True,True,True
2021-03-09,SH688003,29.37,True,True,True
2021-03-09,SH688023,233.5,True,True,True
2021-03-09,SH688013,25.5,True,True,True
2021-03-09,SH603966,15.75,True,True,True
2021-03-09,SH603982,14.94,True,True,True
2021-03-09,SH603881,47.38,True,True,True
2021-03-09,SH688026,71.32,True,True,True
2021-03-09,SH688027,192.16,True,True,True
2021-03-09,SH688055,6.16,True,True,True
2021-03-09,SH603995,30.0,True,True,True
2021-03-09,SH688007,25.03,True,True,True
2021-03-09,SH688058,70.65,True,True,True
2021-03-09,SH688080,37.01,True,True,True
2021-03-09,SH688066,37.4,True,True,True
2021-03-09,SH688155,84.0,True,True,True
2021-03-09,SH603987,18.28,True,True,True
2021-03-09,SH688336,18.6,True,True,True
2021-03-09,SH688159,21.67,True,True,True
2021-03-09,SH688106,23.52,True,True,True
2021-03-09,SH688338,47.5,True,True,True
2021-03-09,SH688199,38.88,True,True,True
2021-03-09,SH688393,33.8,True,True,True
2021-03-09,SH688318,162.21,True,True,True
2021-03-09,SH688298,123.8,True,True,True
2021-03-09,SH688396,57.06,True,True,True
2021-03-09,SH688208,68.5,True,True,True
2021-03-09,SH688513,44.21,True,True,True
2021-03-09,SH688268,56.49,True,True,True
2021-03-09,SH688586,22.15,True,True,True
2021-03-09,SH688628,31.61,True,True,True
2021-03-09,SH688365,24.53,True,True,True
2021-03-09,SH688488,19.8,True,True,True
2021-03-09,SH688520,40.8,True,True,True
2021-03-09,SH688278,34.05,True,True,True
2021-03-09,SH688819,43.5,True,True,True
